2019-11-09 10:01:25 164| INFO|ContextLoader.java.initWebApplicationContext:304|Root WebApplicationContext: initialization started
2019-11-09 10:01:39 879| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/api/buy/add],methods=[POST]}" onto public java.lang.Object com.platform.api.ApiBuyController.addBuy(com.platform.entity.UserVo)
2019-11-09 10:01:39 879| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/api/buy/getGroupBuyList],methods=[POST]}" onto public java.lang.Object com.platform.api.ApiBuyController.getGroupBuyList(com.platform.entity.UserVo)
2019-11-09 10:01:39 882| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/api/cart/index],methods=[GET]}" onto public java.lang.Object com.platform.api.ApiCartController.index(com.platform.entity.UserVo)
2019-11-09 10:01:39 882| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/api/cart/add],methods=[POST]}" onto public java.lang.Object com.platform.api.ApiCartController.add(com.platform.entity.UserVo)
2019-11-09 10:01:39 883| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/api/cart/update],methods=[POST]}" onto public java.lang.Object com.platform.api.ApiCartController.update(com.platform.entity.UserVo)
2019-11-09 10:01:39 883| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/api/cart/delete],methods=[POST]}" onto public java.lang.Object com.platform.api.ApiCartController.delete(com.platform.entity.UserVo)
2019-11-09 10:01:39 884| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/api/cart/minus],methods=[POST]}" onto public java.lang.Object com.platform.api.ApiCartController.minus(com.platform.entity.UserVo)
2019-11-09 10:01:39 884| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/api/cart/getCart],methods=[GET]}" onto public java.lang.Object com.platform.api.ApiCartController.getCart(com.platform.entity.UserVo)
2019-11-09 10:01:39 884| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/api/cart/checked],methods=[POST]}" onto public java.lang.Object com.platform.api.ApiCartController.checked(com.platform.entity.UserVo)
2019-11-09 10:01:39 885| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/api/cart/goodscount],methods=[GET]}" onto public java.lang.Object com.platform.api.ApiCartController.goodscount(com.platform.entity.UserVo)
2019-11-09 10:01:39 885| INFO|AbstractHandlerMethodMapping.java.register:543|Mapped "{[/api/cart/checkout],methods=[GET]}" onto public java.lang.Object com.platform.api.ApiCartController.checkout(com.platform.entity.UserVo,java.lang.Integer,java.lang.String,java.lang.Integer,java.lang.String)
